Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
15.000000	0.967789  	15.000000	0.63259   	15.000000	0.624645  	15.000000	0.626713  	15.000000	0.624947  	15.000000	0.632288  	15.000000	0.000302106	
16.000000	0.918748  	16.000000	0.604842  	16.000000	0.597567  	16.000000	0.599701  	16.000000	0.59784   	16.000000	0.604557  	16.000000	0.000285383	
17.000000	0.874874  	17.000000	0.579549  	17.000000	0.572967  	17.000000	0.575106  	17.000000	0.573195  	17.000000	0.579279  	17.000000	0.000270505	
18.000000	0.835377  	18.000000	0.556414  	18.000000	0.550475  	18.000000	0.552604  	18.000000	0.550672  	18.000000	0.556156  	18.000000	0.000257177	
19.000000	0.799626  	19.000000	0.535179  	19.000000	0.529695  	19.000000	0.531808  	19.000000	0.529882  	19.000000	0.534934  	19.000000	0.000245164	
20.000000	0.767103  	20.000000	0.515626  	20.000000	0.51068   	20.000000	0.512742  	20.000000	0.510847  	20.000000	0.515391  	20.000000	0.000234279	
21.000000	0.737382  	21.000000	0.497566  	21.000000	0.493109  	21.000000	0.495094  	21.000000	0.493237  	21.000000	0.497341  	21.000000	0.000224366	
22.000000	0.710112  	22.000000	0.480837  	22.000000	0.4768    	22.000000	0.478703  	22.000000	0.476903  	22.000000	0.480621  	22.000000	0.0002153 	
23.000000	0.684997  	23.000000	0.465299  	23.000000	0.461608  	23.000000	0.463435  	23.000000	0.461695  	23.000000	0.465092  	23.000000	0.000206974	
24.000000	0.661786  	24.000000	0.450829  	24.000000	0.447414  	24.000000	0.449171  	24.000000	0.447501  	24.000000	0.45063   	24.000000	0.000199299	
25.000000	0.640267  	25.000000	0.437323  	25.000000	0.434123  	25.000000	0.435811  	25.000000	0.434214  	25.000000	0.437131  	25.000000	0.000192201	
27.000000	0.601606  	27.000000	0.41284   	27.000000	0.409931  	27.000000	0.411462  	27.000000	0.410021  	27.000000	0.412661  	27.000000	0.00017949	
29.000000	0.567839  	29.000000	0.391234  	29.000000	0.388475  	29.000000	0.389812  	29.000000	0.388534  	29.000000	0.391066  	29.000000	0.00016843	
31.000000	0.538078  	31.000000	0.372025  	31.000000	0.369481  	31.000000	0.370576  	31.000000	0.369516  	31.000000	0.371867  	31.000000	0.000158715	
33.000000	0.511639  	33.000000	0.354835  	33.000000	0.352641  	33.000000	0.353514  	33.000000	0.352689  	33.000000	0.354684  	33.000000	0.00015011	
35.000000	0.487986  	35.000000	0.339358  	35.000000	0.337509  	35.000000	0.338187  	35.000000	0.337556  	35.000000	0.339215  	35.000000	0.000142433	
38.000000	0.456822  	38.000000	0.318831  	38.000000	0.317465  	38.000000	0.317894  	38.000000	0.317497  	38.000000	0.318699  	38.000000	0.000132346	
41.000000	0.429883  	41.000000	0.300967  	41.000000	0.30004   	41.000000	0.300256  	41.000000	0.30004   	41.000000	0.300844  	41.000000	0.000123655	
44.000000	0.406349  	44.000000	0.285276  	44.000000	0.28468   	44.000000	0.284771  	44.000000	0.284696  	44.000000	0.28516   	44.000000	0.000116083	
47.000000	0.385603  	47.000000	0.27138   	47.000000	0.2711    	47.000000	0.271056  	47.000000	0.271094  	47.000000	0.27127   	47.000000	0.000109424	
50.000000	0.367168  	50.000000	0.258985  	50.000000	0.25897   	50.000000	0.258818  	50.000000	0.258948  	50.000000	0.258881  	50.000000	0.000103521	
55.000000	0.340603  	55.000000	0.241049  	55.000000	0.241354  	55.000000	0.241094  	55.000000	0.24134   	55.000000	0.240954  	55.000000	9.5038e-05	
60.000000	0.318163  	60.000000	0.225838  	60.000000	0.226381  	60.000000	0.22604   	60.000000	0.22637   	60.000000	0.22575   	60.000000	8.78944e-05	
65.000000	0.298941  	65.000000	0.212769  	65.000000	0.213462  	65.000000	0.213083  	65.000000	0.213474  	65.000000	0.212687  	65.000000	8.17925e-05	
70.000000	0.282278  	70.000000	0.201414  	70.000000	0.202255  	70.000000	0.201806  	70.000000	0.202243  	70.000000	0.201337  	70.000000	7.65169e-05	
75.000000	0.267685  	75.000000	0.191453  	75.000000	0.19236   	75.000000	0.191896  	75.000000	0.192367  	75.000000	0.191381  	75.000000	7.19082e-05	
80.000000	0.254792  	80.000000	0.182643  	80.000000	0.18362   	80.000000	0.183114  	80.000000	0.183611  	80.000000	0.182575  	80.000000	6.78458e-05	
85.000000	0.243313  	85.000000	0.174793  	85.000000	0.175788  	85.000000	0.175276  	85.000000	0.175792  	85.000000	0.174729  	85.000000	6.42366e-05	
