Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
20.000000	0.767103  	20.000000	0.784991  	20.000000	0.775221  	20.000000	0.777583  	20.000000	0.775471  	20.000000	0.784636  	20.000000	0.000355098	
21.000000	0.737382  	21.000000	0.7548    	21.000000	0.744974  	21.000000	0.747247  	21.000000	0.745171  	21.000000	0.75446   	21.000000	0.000339822	
22.000000	0.710112  	22.000000	0.727052  	22.000000	0.717214  	22.000000	0.719395  	22.000000	0.717376  	22.000000	0.726726  	22.000000	0.000325862	
23.000000	0.684997  	23.000000	0.701459  	23.000000	0.691643  	23.000000	0.693737  	23.000000	0.691782  	23.000000	0.701146  	23.000000	0.000313052	
24.000000	0.661786  	24.000000	0.677779  	24.000000	0.668015  	24.000000	0.670028  	24.000000	0.668147  	24.000000	0.677478  	24.000000	0.000301255	
25.000000	0.640267  	25.000000	0.655802  	25.000000	0.646124  	25.000000	0.648057  	25.000000	0.646256  	25.000000	0.655512  	25.000000	0.000290353	
27.000000	0.601606  	27.000000	0.616268  	27.000000	0.606882  	27.000000	0.608635  	27.000000	0.607006  	27.000000	0.615997  	27.000000	0.000270849	
29.000000	0.567839  	29.000000	0.581691  	29.000000	0.572765  	29.000000	0.574297  	29.000000	0.572848  	29.000000	0.581437  	29.000000	0.000253902	
31.000000	0.538078  	31.000000	0.551186  	31.000000	0.543035  	31.000000	0.54429   	31.000000	0.543087  	31.000000	0.550947  	31.000000	0.000239033	
33.000000	0.511639  	33.000000	0.524066  	33.000000	0.516781  	33.000000	0.517781  	33.000000	0.516844  	33.000000	0.52384   	33.000000	0.000225878	
35.000000	0.487986  	35.000000	0.499792  	35.000000	0.493269  	35.000000	0.494045  	35.000000	0.493329  	35.000000	0.499578  	35.000000	0.000214153	
38.000000	0.456822  	38.000000	0.467799  	38.000000	0.462252  	38.000000	0.462744  	38.000000	0.462292  	38.000000	0.4676    	38.000000	0.000198767	
41.000000	0.429883  	41.000000	0.440136  	41.000000	0.43541   	41.000000	0.435658  	41.000000	0.435412  	41.000000	0.43995   	41.000000	0.000185526	
44.000000	0.406349  	44.000000	0.415972  	44.000000	0.411872  	44.000000	0.411976  	44.000000	0.411891  	44.000000	0.415798  	44.000000	0.000174005	
47.000000	0.385603  	47.000000	0.394674  	47.000000	0.391133  	47.000000	0.391083  	47.000000	0.391127  	47.000000	0.39451   	47.000000	0.000163885	
50.000000	0.367168  	50.000000	0.375756  	50.000000	0.37268   	50.000000	0.372506  	50.000000	0.372655  	50.000000	0.375601  	50.000000	0.000154921	
55.000000	0.340603  	55.000000	0.348511  	55.000000	0.346015  	55.000000	0.345718  	55.000000	0.346     	55.000000	0.348369  	55.000000	0.000142056	
60.000000	0.318163  	60.000000	0.325521  	60.000000	0.323468  	60.000000	0.323078  	60.000000	0.323456  	60.000000	0.32539   	60.000000	0.000131237	
65.000000	0.298941  	65.000000	0.305851  	65.000000	0.304112  	65.000000	0.303678  	65.000000	0.304126  	65.000000	0.305729  	65.000000	0.000122008	
70.000000	0.282278  	70.000000	0.288823  	70.000000	0.287375  	70.000000	0.28686   	70.000000	0.28736   	70.000000	0.288709  	70.000000	0.000114037	
75.000000	0.267685  	75.000000	0.273932  	75.000000	0.272666  	75.000000	0.272134  	75.000000	0.272674  	75.000000	0.273825  	75.000000	0.000107081	
80.000000	0.254792  	80.000000	0.260796  	80.000000	0.259708  	80.000000	0.259128  	80.000000	0.259697  	80.000000	0.260695  	80.000000	0.000100956	
85.000000	0.243313  	85.000000	0.249119  	85.000000	0.24814   	85.000000	0.247553  	85.000000	0.248145  	85.000000	0.249024  	85.000000	9.55186e-05	
90.000000	0.233021  	90.000000	0.238668  	90.000000	0.237808  	90.000000	0.237183  	90.000000	0.237791  	90.000000	0.238577  	90.000000	9.06584e-05	
