Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
9.000000	1.45241   	9.000000	1.36286   	9.000000	1.37132   	9.000000	1.37132   	9.000000	1.37132   	9.000000	1.36215   	9.000000	0.000706674	
9.500000	1.39222   	9.500000	1.31117   	9.500000	1.31864   	9.500000	1.31864   	9.500000	1.31864   	9.500000	1.31049   	9.500000	0.000673468	
10.000000	1.33719   	10.000000	1.26934   	10.000000	1.27024   	10.000000	1.27024   	10.000000	1.27025   	10.000000	1.2687    	10.000000	0.000643388	
11.000000	1.24016   	11.000000	1.18386   	11.000000	1.18237   	11.000000	1.18331   	11.000000	1.18265   	11.000000	1.18327   	11.000000	0.000590969	
12.000000	1.15727   	12.000000	1.10963   	12.000000	1.10651   	12.000000	1.10806   	12.000000	1.10692   	12.000000	1.10908   	12.000000	0.000546802	
13.000000	1.0856    	13.000000	1.04461   	13.000000	1.04031   	13.000000	1.04225   	13.000000	1.04075   	13.000000	1.0441    	13.000000	0.000509054	
14.000000	1.02299   	14.000000	0.987202  	14.000000	0.981977  	14.000000	0.984175  	14.000000	0.982415  	14.000000	0.986726  	14.000000	0.000476401	
15.000000	0.967789  	15.000000	0.936157  	15.000000	0.930148  	15.000000	0.932514  	15.000000	0.930574  	15.000000	0.935709  	15.000000	0.000447864	
16.000000	0.918748  	16.000000	0.890475  	16.000000	0.883796  	16.000000	0.886237  	16.000000	0.884182  	16.000000	0.890053  	16.000000	0.000422698	
17.000000	0.874874  	17.000000	0.849357  	17.000000	0.84208   	17.000000	0.844526  	17.000000	0.842406  	17.000000	0.848957  	17.000000	0.000400332	
18.000000	0.835377  	18.000000	0.812151  	18.000000	0.804284  	18.000000	0.806721  	18.000000	0.804568  	18.000000	0.811771  	18.000000	0.000380316	
19.000000	0.799626  	19.000000	0.778324  	19.000000	0.76987   	19.000000	0.772286  	19.000000	0.770134  	19.000000	0.777962  	19.000000	0.000362293	
20.000000	0.767103  	20.000000	0.747434  	20.000000	0.738424  	20.000000	0.740782  	20.000000	0.738659  	20.000000	0.747088  	20.000000	0.000345976	
21.000000	0.737382  	21.000000	0.719113  	21.000000	0.709571  	21.000000	0.711841  	21.000000	0.709755  	21.000000	0.718782  	21.000000	0.000331128	
22.000000	0.710112  	22.000000	0.693051  	22.000000	0.682979  	22.000000	0.685157  	22.000000	0.68313   	22.000000	0.692734  	22.000000	0.000317559	
23.000000	0.684997  	23.000000	0.668988  	23.000000	0.658381  	23.000000	0.660472  	23.000000	0.65851   	23.000000	0.668683  	23.000000	0.000305106	
24.000000	0.661786  	24.000000	0.6467    	24.000000	0.635555  	24.000000	0.637565  	24.000000	0.635679  	24.000000	0.646407  	24.000000	0.000293635	
25.000000	0.640267  	25.000000	0.625997  	25.000000	0.614318  	25.000000	0.616249  	25.000000	0.614444  	25.000000	0.625714  	25.000000	0.000283034	
27.000000	0.601606  	27.000000	0.588707  	27.000000	0.576012  	27.000000	0.577762  	27.000000	0.576131  	27.000000	0.588442  	27.000000	0.000264066	
29.000000	0.567839  	29.000000	0.556046  	29.000000	0.542427  	29.000000	0.543957  	29.000000	0.542507  	29.000000	0.555798  	29.000000	0.00024758	
31.000000	0.538078  	31.000000	0.527195  	31.000000	0.513773  	31.000000	0.515026  	31.000000	0.513822  	31.000000	0.526962  	31.000000	0.000233115	
33.000000	0.511639  	33.000000	0.501518  	33.000000	0.489212  	33.000000	0.49021   	33.000000	0.489273  	33.000000	0.501297  	33.000000	0.000220314	
35.000000	0.487986  	35.000000	0.478513  	35.000000	0.467199  	35.000000	0.467974  	35.000000	0.467257  	35.000000	0.478304  	35.000000	0.000208902	
38.000000	0.456822  	38.000000	0.448161  	38.000000	0.438133  	38.000000	0.438625  	38.000000	0.438173  	38.000000	0.447967  	38.000000	0.000193926	
41.000000	0.429883  	41.000000	0.42189   	41.000000	0.412956  	41.000000	0.413204  	41.000000	0.412958  	41.000000	0.421709  	41.000000	0.000181035	
44.000000	0.406349  	44.000000	0.398919  	44.000000	0.390854  	44.000000	0.390958  	44.000000	0.390873  	44.000000	0.39875   	44.000000	0.000169816	
47.000000	0.385603  	47.000000	0.378658  	47.000000	0.371368  	47.000000	0.371317  	47.000000	0.371362  	47.000000	0.378498  	47.000000	0.00015996	
50.000000	0.367168  	50.000000	0.360648  	50.000000	0.354015  	50.000000	0.353841  	50.000000	0.353991  	50.000000	0.360496  	50.000000	0.00015123	
55.000000	0.340603  	55.000000	0.33469   	55.000000	0.328917  	55.000000	0.32862   	55.000000	0.328902  	55.000000	0.334551  	55.000000	0.000138696	
60.000000	0.318163  	60.000000	0.312767  	60.000000	0.307673  	60.000000	0.307284  	60.000000	0.307661  	60.000000	0.312639  	60.000000	0.000128154	
65.000000	0.298941  	65.000000	0.293996  	65.000000	0.28942   	65.000000	0.288986  	65.000000	0.289434  	65.000000	0.293877  	65.000000	0.000119158	
70.000000	0.282278  	70.000000	0.277737  	70.000000	0.273626  	70.000000	0.273112  	70.000000	0.273612  	70.000000	0.277625  	70.000000	0.000111389	
